Frame	Talin	Kindlin	Both		Frame	Time	Talin	Kindlin	Both	Time	Talin	Kindlin	Both
65	0.471137802	0.55560917	0.668964363		65	13	26.99420761	31.83406052	38.32883465	13	28.15400566	32.84153891	39.39647746
66	0.463497506	0.57282578	0.65506348		66	13.2	26.55645094	32.82049962	37.53237271	13.2	27.67473924	32.83522712	38.83724603
67	0.494976751	0.569043292	0.692916583		67	13.4	28.36007878	32.60377898	39.70119573	13.4	27.8803411	32.76579268	39.09643094
68	0.413777468	0.576155974	0.723472594		68	13.6	23.70770259	33.01130565	41.45192624	13.6	26.62854955	32.83944657	39.80307953
69	0.5341781	0.604186908	0.593945992		69	13.8	30.60615062	34.61735988	34.03059859	13.8	27.82182987	33.37282056	38.07133525
70	0.417025051	0.584464991	0.629542492		70	14	23.8937754	33.48737726	36.0701278	14	26.64341353	33.40718757	37.47097301
71	0.423176272	0.616231063	0.608045748		71	14.2	24.2462144	35.30743912	34.83845511	14.2	25.92425379	33.97726304	36.68121764
72	0.377721785	0.619900582	0.639044442		72	14.4	21.64186411	35.51768708	36.61454945	14.4	24.63953688	34.43939025	36.66121718
73	0.452670405	0.622215574	0.582597906		73	14.6	25.93610369	35.65032632	33.38040116	14.6	25.02850693	34.80267107	35.67697238
74	0.459417068	0.604491173	0.695148454		74	14.8	26.32265905	34.63479294	39.82907254	14.8	25.41675256	34.75230763	36.92260243
75	0.44087435	0.680920601	0.615637262		75	15	25.26023953	39.01387663	35.2734168	15	25.36979866	36.03077833	36.42784674
76	0.408174452	0.681192496	0.663472033		76	15.2	23.38667338	39.02945504	38.0141473	15.2	24.77486107	36.93038134	36.90373691
77	0.400833377	0.686958483	0.664778486		77	15.4	22.96606077	39.35982178	38.08900157	15.4	24.23222098	37.65921347	37.2593163
78	0.439787592	0.705983984	0.645899235		78	15.6	25.1979729	40.44990269	37.00730017	15.6	24.52194656	38.49642024	37.18371146
79	0.380762531	0.679494932	0.612751751		79	15.8	21.81608602	38.93219178	35.10808921	15.8	23.7101884	38.6271517	36.56102479
80	0.452904192	0.727153497	0.579668543		80	16	25.94949874	41.66282644	33.21256101	16	24.3819815	39.53785412	35.55648565
81	0.42943415	0.703825331	0.56966037		81	16.2	24.6047644	40.32622099	32.63913494	16.2	24.44881637	39.77436418	34.68128044
82	0.475943233	0.700397476	0.521706394		82	16.4	27.26953857	40.12981934	29.89157454	16.4	25.29503303	39.88100073	33.24436867
83	0.474665419	0.703329089	0.61293105		83	16.6	27.19632521	40.2977884	35.11836228	16.6	25.86542068	40.00603703	33.80656675
84	0.547138405	0.760340166	0.578501982		84	16.8	31.34872143	43.56428251	33.145722	16.8	27.51041091	41.07351067	33.60831333
85	0.558276661	0.759551764	0.576002372		85	17	31.98689646	43.5191104	33.0025049	17	28.85335657	41.80719059	33.4265708
86	0.477778894	0.738956496	0.630724311		86	17.2	27.37471418	42.33908844	36.13784108	17.2	28.40976385	41.96675995	34.23995188
87	0.490117177	0.710459967	0.661508132		87	17.4	28.08164572	40.70635763	37.90162405	17.4	28.31132842	41.58863925	35.33845353
88	0.431479173	0.7438657	0.665374552		88	17.6	24.72193559	42.62036511	38.12315362	17.6	27.23451057	41.89815701	36.17386356
89	0.380632234	0.789722461	0.584565361		89	17.8	21.80862053	45.24776398	33.49312806	17.8	25.60674356	42.9030391	35.36964291
90	0.386519818	0.762377383	0.52715888		90	18	22.14595429	43.68100643	30.20397895	18	24.56850678	43.1364293	33.81994372
91	0.392468091	0.73266755	0.605630458		91	18.2	22.48676522	41.97875841	34.70006917	18.2	23.94398431	42.78912803	34.08398136
92	0.437876576	0.751429138	0.59530569		92	18.4	25.08847973	43.0537182	34.10850358	18.4	24.28733294	42.86850508	34.09133802
93	0.482892975	0.748447293	0.655035228		93	18.6	27.66772943	42.88287108	37.53075399	18.6	25.30145189	42.87281488	35.12316281
94	0.467650482	0.782328462	0.659576834		94	18.8	26.79439893	44.82411905	37.79096888	18.8	25.749336	43.45820613	35.92350463
95	0.518123092	0.78781981	0.606669188		95	19	29.68626644	45.13875015	34.75958403	19	26.93041513	43.96236934	35.57432845
96	0.432526704	0.795038108	0.628560983		96	19.2	24.78195464	45.55232813	36.01389148	19.2	26.28587698	44.43935698	35.70619736
97	0.41546605	0.794041504	0.65691207		97	19.4	23.8044512	45.49522695	37.63828913	19.4	25.54144925	44.75611797	36.28582489
98	0.474659784	0.838719172	0.690828866		98	19.6	27.1960023	48.05506876	39.58157837	19.6	26.03781516	45.74580321	37.27455093
99	0.514911127	0.751916864	0.642069377		99	19.8	29.50223438	43.08166284	36.78786544	19.8	27.07714093	44.9465611	37.12854528
100	0.562060977	0.726475375	0.677184224		100	20	32.20372179	41.62397291	38.79979801	20	28.61511519	43.94978464	37.6299211
101	0.562634393	0.724716764	0.636624658		101	20.2	32.23657613	41.52321194	36.47590602	20.2	29.70155347	43.22181283	37.28371658
102	0.608114874	0.764777445	0.626132577		102	20.4	34.84241572	43.81851989	35.8747541	20.4	31.24381215	43.40082495	36.86102784
103	0.54894275	0.775636905	0.696439367		103	20.6	31.45210274	44.4407211	39.90303644	20.6	31.30629933	43.7127938	37.77363042
104	0.573576125	0.730713187	0.646795423		104	20.8	32.86349119	41.86678166	37.05864796	20.8	31.77345688	43.15899016	37.55913568
105	0.450120489	0.751258173	0.641241622		105	21	25.79000432	43.04392261	36.74043861	21	29.97842111	43.12446989	37.31352656
106	0.396792601	0.718957226	0.577129392		106	21.2	22.73454139	41.19321468	33.06707842	21.2	27.8052572	42.54509333	36.03959212
107	0.454344105	0.75795351	0.622038658		107	21.4	26.03199965	43.42753716	35.64018977	21.4	27.27327993	42.80982648	35.91977141
108	0.412906471	0.732122551	0.656783827		108	21.6	23.6577981	41.94753225	37.63094133	21.6	26.18863538	42.55113821	36.43312239
109	0.415511777	0.745036795	0.61386936		109	21.8	23.80707115	42.68746393	35.17212352	21.8	25.47416611	42.59203593	36.05482273
110	0.36353187	0.731982699	0.595838924		110	22	20.82884187	41.93951932	34.13905559	22	24.08056884	42.39628095	35.48009259
111	0.407773931	0.740576143	0.56656288		111	22.2	23.36372525	42.43188741	32.46166184	22.2	23.86551576	42.40696289	34.57456336
112	0.404428239	0.698956158	0.574360397		112	22.4	23.1720312	40.04723793	32.90842667	22.4	23.6574704	41.6990454	34.07472235
113	0.427399869	0.681936426	0.559886387		113	22.6	24.48820863	39.07207912	32.07912696	22.6	23.90669187	40.91095552	33.47604374
114	0.395394952	0.640351036	0.51863223		114	22.8	22.65446201	36.68941175	29.71543788	22.8	23.53102291	39.64449239	32.34786198
